word,necklace,k,o,e,mu,kind,primitive,leftover_shape,status,filter,hit,plus_one_W,m2_cap,cyclemin_n0,interval_empty,box_empty_unproved,phi_min_ge_one
EO,EO,2,1,1,-1,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEO,EEO,3,1,2,-5,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EOO,EOO,3,2,1,1,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EEEO,EEEO,4,1,3,-13,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOO,EEOO,4,2,2,-7,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EOOO,EOOO,4,3,1,11,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EEEEO,EEEEO,5,1,4,-29,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEOO,EEEOO,5,2,3,-23,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOEO,EEOEO,5,2,3,-23,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOOO,EEOOO,5,3,2,-5,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EOEOO,EOEOO,5,3,2,-5,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EOOOO,EOOOO,5,4,1,49,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EEEEEO,EEEEEO,6,1,5,-61,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEEOO,EEEEOO,6,2,4,-55,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEOEO,EEEOEO,6,2,4,-55,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEOOO,EEEOOO,6,3,3,-37,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOEOO,EEOEOO,6,3,3,-37,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOOEO,EEOOEO,6,3,3,-37,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOOOO,EEOOOO,6,4,2,17,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EOEOOO,EOEOOO,6,4,2,17,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EOOOOO,EOOOOO,6,5,1,179,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EEEEEEO,EEEEEEO,7,1,6,-125,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEEEOO,EEEEEOO,7,2,5,-119,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEEOEO,EEEEOEO,7,2,5,-119,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEEOOO,EEEEOOO,7,3,4,-101,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEOEEO,EEEOEEO,7,2,5,-119,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEOEOO,EEEOEOO,7,3,4,-101,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEOOEO,EEEOOEO,7,3,4,-101,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEEOOOO,EEEOOOO,7,4,3,-47,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOEEOO,EEOEEOO,7,3,4,-101,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOEOEO,EEOEOEO,7,3,4,-101,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOEOOO,EEOEOOO,7,4,3,-47,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOOEOO,EEOOEOO,7,4,3,-47,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOOOEO,EEOOOEO,7,4,3,-47,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EEOOOOO,EEOOOOO,7,5,2,115,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EOEOEOO,EOEOEOO,7,4,3,-47,contracting,True,False,INFEASIBLE,power_bound_contracts,,,,,False,False,
EOEOOOO,EOEOOOO,7,5,2,115,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
EOOEOOO,EOOEOOO,7,5,2,115,expanding,True,False,INFEASIBLE,no_cycle_itinerary_even_count_le_three,,,,,False,False,
